,longitude,latitude,name,category
159,4.8060063,45.7750992003759,Zigana,fast_food
160,4.8305668,45.7286615003825,Carnegie-Hall,restaurant
161,4.8741485,45.7432447003804,Monceau Fleurs,florist
162,4.8073502,45.7785464003754,Pharmacie de la gare d'eau,pharmacy
163,4.8070559,45.7803845003752,Wallace,cafe
164,4.8477791,45.767448300377,Bo Sushi,restaurant
165,4.8457192,45.7669768003771,La Vie Claire Lyon Vendôme,convenience
166,4.8463136,45.7670366003771,Franprix,convenience
167,4.8452934,45.7681385003769,Petit Casino,convenience
168,4.8510135,45.7637707003775,Matsuri,restaurant
169,4.8456255,45.7681518003769,S Sushi,restaurant
170,4.84477,45.7513524003793,L'Epicerie Equitable,convenience
171,4.8217805,45.7434706003804,Le Saint-Honoré,bakery
172,4.827187,45.7597199003781,Maison de la Presse,newsagent
173,4.8675289,45.7473192003799,Franprix Lyon,convenience
174,4.8396913,45.7484393003797,Antoinette Pain & Brioche,bakery
175,4.842593,45.7566431003785,Vélonaute Liberté,bicycle
176,4.8262801,45.7621349003778,Les Retrouvailles,restaurant
177,4.8264509,45.7621747003778,Restaurant Jérémy Galvan,restaurant
178,4.826216,45.7618679003778,Les Lyonnais,restaurant
